"","Trans2","Trans4","Trans5","Trans6","Trans7","Trans8","Trans9","Trans11","Trans31","Trans41","Food10","Food18","Food26","Food30","Food43","Food46","Food51","Food53","Food55","Food58","Food59","Food81","Food82","Food87","Food107","Food137","Food150","Food153","Food156","Food160","Food162"
"7452",32.55,178.35,2,4,15,26,15,30,0,0,4.45,2,8.9,0,4.55,24.05,1,0,7,69.6,4.55,0.355586463,0.042188224,0.2229949,1,10,4,10,22,0,6.7
"7453",0,123.58,0,0,0,22,16,19,1,1,0,0,0,0,0,0,7,0,6,9.03,24.77,0,0,0,0,0,0,4,2,0,0
"7454",14.5,52.75,0,1,3,6,15,149,0,0,0,0,0,14,0,24.85,0,0,4,0,0,0,0,0.754172989,0,3,0,1,4,10.35,14.1
"7455",0,258.37,0,0,19,49,0,6,1,6,0,0,0,0,0,36.8,0,10,0,86,0,0.518425038,0,0.371529531,0,4,0,35,7,0,17.4
"7456",0,47.29,0,0,2,9,31,59,1,12,0,0,0,0,0,0,0,4,0,5.2,0,0.838709677,0,0,0,3,2,1,3,0,0
"7457",0,83.41,0,0,5,24,7,32,0,10,0,0,0,0,0,0,1,10,0,18.25,3.95,0,0,0,0,1,16,0,9,0,0
"7458",0,59.3,0,0,0,12,3,20,1,10,0,0,0,0,0,0,6,0,4,12.32,17.1,0,0,0,0,0,0,0,6,0,0
"7459",0,22.84,0,0,0,5,14,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7460",30.7,61.8,6,14,15,18,2,171,1,9,3.55,1,3.55,0,0,0,0,0,0,3.55,0,0.115635179,0,0,5,13,2,0,17,0,0
"7461",13.12,26.2,1,2,2,5,24,265,0,35,0,0,0,9.1,0,9.1,0,0,0,0,0,0,0,1,0,1,0,0,1,4.45,4.45
"7462",0,43.23,0,0,0,3,8,16,0,0,0,0,0,0,0,0,8,0,0,0,19.48,0,0,0,0,0,2,10,0,0,0
"7463",0,39.73,0,0,0,9,24,28,0,1,0,0,0,0,0,0,2,2,4,8.55,4.74,0,0,0,0,0,7,0,3,0,0
"7464",16.52,81.83,0,3,10,13,29,65,0,13,0,0,0,0,0,0,0,0,0,13.55,0,1,0,0,0,0,2,1,5,0,0
"7465",0,65.4,0,0,6,10,10,83,0,22,0,0,0,0,0,0,0,0,0,13.1,0,0.541284404,0,0,0,0,3,0,5,0,0
"7466",48,83.92,0,7,8,11,36,45,1,6,0,3,13.85,0,0,9.2,0,6,0,13.85,0,0.382068966,0,0.253793103,0,7,0,4,11,0,5.25
"7467",3.9,18.63,0,2,3,4,25,182,0,149,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,3,0,0
"7468",21.9,38.9,2,4,4,10,14,19,0,0,0,0,0,3.75,0,3.75,0,0,0,0,0,0,0,0.559701493,0,0,0,4,1,1.5,1.5
"7469",33.89,110.7,5,6,13,19,36,113,1,0,0,0,0,0,27.25,12.35,5,0,2,5.45,27.25,0.120976693,0.604883463,0.274139845,0,0,2,12,0,0,2.95
"7470",32.55,54.7,1,7,10,11,24,174,0,149,0,6,28.1,0,0,0,0,0,4,43.15,0,1,0,0,0,3,9,1,9,0,0
"7471",0,40.06,0,0,5,10,3,36,1,23,0,0,0,0,0,3.8,0,2,0,10.35,0,0,0,0.419889503,0,2,4,0,5,0,5.2
"7472",126.73,176.65,27,32,34,48,37,46,1,0,0,3,13.95,18.2,0,24.1,6,11,8,13.95,16.61,0.141696293,0,0.244794312,25,31,2,2,8,8.65,11.6
"7473",0,43.8,0,0,2,13,1,15,0,11,0,0,0,0,0,15.55,0,0,0,0,0,0,0,1,0,0,2,0,12,0,6.65
"7474",0,244.5,0,0,0,35,5,11,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,26,28,0,0
"7475",19.85,43.66,0,6,10,13,33,113,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"7476",10.16,50.61,2,2,7,10,11,74,1,12,0,0,0,0,0,6.4,1,2,2,9.2,4.65,0.475452196,0,0.330749354,0,3,2,3,5,0,1.95
"7477",21.25,47.7,1,7,9,13,33,76,0,24,0,0,0,0,0,0,0,12,2,0,0,0,0,0,1,7,2,2,7,0,0
"7478",0,86.37,0,0,11,19,3,45,0,0,0,0,0,0,0,0,0,0,0,23.97,0,1,0,0,0,1,3,0,6,0,0
"7479",0,34.14,0,0,2,5,2,36,0,0,0,0,0,0,0,10.95,1,0,2,0,4.95,0,0,1,0,0,4,0,1,0,6.7
"7480",0,63.82,0,0,2,10,14,45,0,10,0,0,0,0,0,0,2,0,0,0,5.24,0,0,0,0,0,1,0,0,0,0
"7481",0,25.59,0,0,0,5,13,26,0,3,0,0,0,0,0,0,4,0,0,0,7.77,0,0,0,0,0,8,0,0,0,0
"7482",0,28.85,0,0,0,6,11,15,0,2,0,0,0,0,0,0,0,2,0,6.9,0,0,0,0,0,0,6,0,5,0,0
"7483",9.51,74.74,1,4,7,13,17,56,0,0,0,0,0,0,0,21.25,0,0,4,0,0,0,0,1,0,2,3,0,2,0,8.95
"7484",26.9,47.6,0,7,10,15,4,19,0,11,0,0,0,4.2,0,4.2,1,1,4,2.45,4.45,0,0,0.150537634,0,4,6,1,10,9.4,9.4
"7485",20.4,27.82,3,4,4,6,34,77,0,23,0,0,0,6.9,0,6.9,1,0,4,0,2.47,0,0,0.338235294,1,1,7,6,6,3.25,3.25
"7486",14.15,59.15,1,2,6,11,11,31,1,0,0,0,0,0,31.95,0,13,0,0,0,58.65,0,1,0,1,6,0,1,0,0,0
"7487",0,16.03,0,0,0,4,29,34,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,4,0,0
"7488",2.25,18.37,1,1,3,6,38,172,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,0,0
"7489",101.32,176.22,19,22,22,34,21,25,0,2,20.9,5,20.9,7.84,53.04,7.84,12,0,0,54.86,53.04,0.239239927,0.607142857,0.08974359,16,19,2,11,19,3.42,3.42
"7490",0,129.45,0,0,9,21,29,32,0,2,0,0,0,0,34.65,8.85,16,0,0,0,79.2,0,0.754080522,0.192600653,0,0,1,19,1,0,4.9
"7491",18.31,64.6,0,4,6,9,0,79,0,65,0,1,5.17,0,18.3,0,6,0,0,5.17,28.34,0.22028121,0.77971879,0,0,1,0,6,0,0,0
"7492",0,62.4,0,0,0,15,0,13,0,0,0,0,0,0,0,0,6,12,0,4.95,12.61,0,0,0,0,0,0,18,0,0,0
"7493",31.61,98.63,3,6,9,15,2,33,0,84,0,0,0,0,8.5,0,6,0,12,0,17.4,0,1,0,0,0,2,0,0,0,0
"7494",3.85,56.93,0,1,9,17,4,29,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,20,0,0
"7495",0,232.64,0,0,13,56,10,13,1,1,0,0,0,0,0,33.9,0,1,2,74.3,0,0.208219178,0,0.619178082,0,0,42,0,44,0,20.05
"7496",0,53.46,0,0,1,6,18,70,0,16,0,0,0,0,0,12.7,0,1,2,0,0,0,0,0.962121212,0,2,0,0,3,0,4.9
"7497",0,57.2,0,0,0,10,7,14,1,0,0,0,0,0,0,0,12,0,4,4.15,32.05,0,0,0,0,0,0,0,0,0,0
"7498",16.07,45.45,2,3,6,7,23,137,0,74,3.59,2,7.18,0,0,0,0,0,0,18.67,0,0.802533532,0,0,2,4,0,2,5,0,0
"7499",25.95,57.72,0,6,10,12,21,175,0,0,0,2,9.34,0,4.37,0,1,2,2,14.2,4.37,0.515239478,0.158563135,0,0,2,3,3,3,0,0
"7500",34.2,215.62,5,6,10,23,0,44,1,7,0,0,0,0,0,0,0,0,5,44,0,0.897526502,0,0,0,1,2,14,18,0,0
"7501",29.23,125.82,0,6,18,27,15,28,0,17,0,0,0,0,44.32,0,15,7,10,0,58.27,0,0.571870968,0,0,14,3,10,1,0,0
"7502",0,34.7,0,0,0,9,38,42,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"7503",0,27.59,0,0,0,5,37,49,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,3,0,0
"7504",25.53,57.76,4,5,6,12,21,46,1,0,0,0,0,10.57,0,10.57,0,0,0,11.75,0,0.246730083,0,0.628418549,1,3,1,1,4,5.17,5.17
"7505",0,165.4,0,0,0,15,0,16,0,0,0,0,0,0,0,0,0,2,8,13.71,0,0,0,0,0,0,4,24,6,0,0
"7506",105.3,149.84,17,23,32,35,18,107,0.8,0,53.6,19,73.55,19.3,0,19.3,0,3,2,101.2,0,0.728053063,0,0.15060476,4,6,3,26,34,17.85,17.85
"7507",0,75.79,0,0,1,13,27,77,0,49,0,0,0,0,0,6.4,1,0,0,0,2.47,0,0,1,0,0,5,1,0,0,1.95
"7508",32.06,67.7,0,9,14,15,18,153,0,0,0,1,2.35,7.4,0,29.57,0,0,0,2.35,0,0.050138682,0,0.630893962,0,5,6,0,10,11.45,20.12
"7509",16.35,43.75,2,2,4,6,21,108,1,46,2.95,1,2.95,11.6,0,23.2,0,0,0,11.8,0,0.101549053,0,0.798623064,0,0,0,9,9,5.7,11.4
"7510",0,57.35,0,0,3,8,1,41,1,0,0,0,0,0,0,23.25,0,2,0,0,0,0,0,0.939393939,0,4,1,0,4,0,8.15
"7511",0,112.29,0,0,0,13,1,11,1,4,0,0,0,0,0,0,0,0,9,33.4,0,0,0,0,0,0,2,11,1,0,0
"7512",41.55,86.9,4,4,6,16,11,29,0.5,0,2.45,1,2.45,0,0,0,0,1,2,38.9,0,0.514754098,0,0,3,4,6,2,7,0,0
"7513",0,186.3,0,0,5,9,14,66,1,0,0,0,0,0,0,13.9,0,0,2,11.85,0,0.079878665,0,0.140546006,0,0,0,9,9,0,5.7
"7514",0,30.75,0,0,0,4,16,23,0,0,0,0,0,0,0,0,1,0,0,4.95,5.25,0,0,0,0,0,0,3,0,0,0
"7515",19.47,140.18,5,5,12,31,3,5,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,27,0,0,0
"7516",44.56,98.35,0,5,15,17,23,132,0,7,0,1,4.09,0,14.61,0,4,0,4,34.56,17.81,0.501887889,0.21216962,0,0,6,2,5,8,0,0
"7517",1.72,32.96,1,1,5,11,36,45,0,8,0,0,0,0,4.25,0,7,0,0,3.95,12.13,0.398185484,0.428427419,0,0,0,8,0,1,1.72,1.72
"7518",71.85,114,11,11,11,22,35,48,0,0,11.9,3,11.9,15.6,0,15.6,2,7,3,11.9,10.5,0.233562316,0,0.306182532,3,3,0,14,3,6.4,6.4
